,,,,,
,"CPI - Rural, Urban, Combined (All India)",,,,
,,,,,
,Base : 2012 = 100,,,,
,,,,,
,Month,Commodity Description,Provisional / Final,Combined,
,,,,Index,Inflation (%)
,DEC-2024,A.1.10) Spices,Final,227.4,-7.41
,DEC-2024,A.1.11) Non-alcoholic beverages,Final,182,3
,DEC-2024,"A.1.12) Prepared meals, snacks, sweets etc.",Final,206.1,4.04
,DEC-2024,"A.2) Pan, tobacco and intoxicants",Final,209.6,2.49
,DEC-2024,A.3) Clothing and footwear,Final,194.8,2.74
,DEC-2024,A.3.1) Clothing,Final,196.3,2.83
,DEC-2024,A.3.2) Footwear,Final,186.2,2.08
,DEC-2024,A.4) Housing,Final,181.7,2.71
,DEC-2024,A.5) Fuel and light,Final,177.8,-1.33
,DEC-2024,A.6) Miscellaneous,Final,186.5,4.19
,DEC-2024,A.6.1) Household goods and services,Final,182.9,2.81
,DEC-2024,A.6.2) Health,Final,198,4.05
,DEC-2024,A.6.3) Transport and communication,Final,171,2.64
,DEC-2024,A.6.4) Recreation and amusement,Final,178.8,2.7
,DEC-2024,A.6.5) Education,Final,189.7,3.95
,DEC-2024,A.6.6) Personal Care and Effects,Final,207,9.76
,DEC-2024,B) Consumer Food Price Index,Final,206.7,8.39
,NOV-2024,A) General Index,Final,196.5,5.48
,NOV-2024,A.1) Food and beverages,Final,208.4,8.2
,NOV-2024,A.1.1) Cereals and products,Final,197.3,6.88
,NOV-2024,A.1.2) Meat and fish,Final,224,4.67
,NOV-2024,A.1.3) Egg,Final,201.4,4.84
,NOV-2024,A.1.4) Milk and products,Final,187.4,2.85
,NOV-2024,A.1.5) Oils and fats,Final,181.7,13.28
,NOV-2024,A.1.6) Fruits,Final,192.1,7.68
,NOV-2024,A.1.7) Vegetables,Final,278.8,29.37
,NOV-2024,A.1.8) Pulses and products,Final,216.2,5.41
,NOV-2024,A.1.9) Sugar and confectionery,Final,131.8,1.31
,NOV-2024,A.1.10) Spices,Final,228.1,-7.43
,NOV-2024,A.1.11) Non-alcoholic beverages,Final,181.3,2.72
,NOV-2024,"A.1.12) Prepared meals, snacks, sweets etc.",Final,205.3,3.95
,NOV-2024,"A.2) Pan, tobacco and intoxicants",Final,209.2,2.35
,NOV-2024,A.3) Clothing and footwear,Final,194.4,2.75
,NOV-2024,A.3.1) Clothing,Final,195.8,2.78
,NOV-2024,A.3.2) Footwear,Final,186,2.2
,NOV-2024,A.4) Housing,Final,183,2.87
,NOV-2024,A.5) Fuel and light,Final,176.6,-1.83
,NOV-2024,A.6) Miscellaneous,Final,186.2,4.26
,NOV-2024,A.6.1) Household goods and services,Final,182.4,2.82
,NOV-2024,A.6.2) Health,Final,197.3,4.01
,NOV-2024,A.6.3) Transport and communication,Final,170.9,2.7
,NOV-2024,A.6.4) Recreation and amusement,Final,178.4,2.65
,NOV-2024,A.6.5) Education,Final,189.5,3.89
